,0
method,ML t+1
Total Net Profit,819.1064999999953
Gross Profit,8667.092599999994
Gross Loss,-7847.986099999999
Percent Profitable,46.666666666666664
Winning Trades,7
Losing Trades,8
Avg. Trade Net Profit,54.60709999999969
Avg. Winning Trade,1238.156085714285
Avg. Losing Trade,-980.9982624999999
Ratio Avg. Win:Avg. Loss,-1.2621389181250309
Largest Winning Trade,6895.0887
Largest Losing Trade,-2395.0
Max. Consecutive Winning Trades,2
Max. Consecutive Losing Trades,2
Avg. Bars in Total Trades,225
Avg. Bars in Winning Trades,77
Avg. Bars in Losing Trades,148
Max. Drawdown,4045.623900000006
