,0
method,ML t+5
Total Net Profit,-9621.589100000005
Gross Profit,15437.244899999998
Gross Loss,-25058.834000000003
Percent Profitable,44.44444444444444
Winning Trades,16
Losing Trades,17
Avg. Trade Net Profit,-267.26636388888903
Avg. Winning Trade,964.8278062499999
Avg. Losing Trade,-1474.0490588235295
Ratio Avg. Win:Avg. Loss,-0.65454253403211
Largest Winning Trade,2443.0
Largest Losing Trade,-5076.947200000004
Max. Consecutive Winning Trades,4
Max. Consecutive Losing Trades,4
Avg. Bars in Total Trades,501
Avg. Bars in Winning Trades,303
Avg. Bars in Losing Trades,198
Max. Drawdown,10271.185200000065
