,Date,Open,High,Low,Close,Crypto
0,2018-01-01,13996.0,14035.0,12860.0,13535.0,BTC
1,2018-01-01,744.39,772.98,725.1,757.01,ETH
2,2018-01-01,230.32,237.77,217.87,225.63,LTC
3,2018-01-02,13535.0,15217.0,12956.0,14770.0,BTC
4,2018-01-02,758.0,879.9,757.01,864.0,ETH
5,2018-01-02,225.34,265.0,225.01,254.6,LTC
6,2018-01-03,14770.0,15394.0,14589.0,15057.0,BTC
7,2018-01-03,861.99,947.92,851.0,938.0,ETH
8,2018-01-03,254.6,261.49,240.51,243.0,LTC
9,2018-01-04,15057.0,15395.0,14225.0,14921.0,BTC
10,2018-01-04,937.18,988.99,905.01,942.04,ETH
11,2018-01-04,243.01,246.92,225.0,240.0,LTC
12,2018-01-05,14921.0,16909.0,14817.0,16828.0,BTC
13,2018-01-05,942.04,1009.84,900.0,958.0,ETH
14,2018-01-05,239.99,260.0,236.0,240.45,LTC
15,2018-01-06,16765.0,17118.0,16255.0,16849.0,BTC
16,2018-01-06,957.45,1005.0,950.4,998.7,ETH
17,2018-01-06,241.93,305.0,240.0,280.53,LTC
18,2018-01-07,16849.0,17212.0,15770.0,16183.0,BTC
19,2018-01-07,998.69,1098.0,997.87,1098.0,ETH
20,2018-01-07,280.52,286.76,252.4,266.55,LTC
21,2018-01-08,16183.0,16466.0,13958.0,14901.0,BTC
22,2018-01-08,1098.0,1191.0,966.01,1137.5,ETH
23,2018-01-08,269.99,271.45,226.0,254.96,LTC
24,2018-01-09,14915.0,15360.0,14170.0,14548.0,BTC
25,2018-01-09,1136.4,1289.0,1126.0,1284.99,ETH
26,2018-01-09,253.53,290.0,239.0,246.85,LTC
27,2018-01-10,14544.0,14694.0,13456.0,14482.0,BTC
28,2018-01-10,1284.0,1366.66,1202.74,1245.02,ETH
29,2018-01-10,245.5,254.97,231.75,251.83,LTC
30,2018-01-11,14482.0,14943.0,12846.0,13445.0,BTC
31,2018-01-11,1245.75,1328.0,1111.0,1195.67,ETH
32,2018-01-11,251.76,254.0,216.02,230.7,LTC
